type,recipe_id,ingredient,amount_sum,units_std,servings,calories,value,amount_per,calories_per
cupcake,219673,butter,1.25,cups,48,161,1 cup butter at room temperature;1/4 cup unsalted butter,0.026041666666666668,3.3541666666666665
cupcake,219673,cream,0.5,cups,48,161,1/2 cup heavy cream,0.010416666666666666,3.3541666666666665
cupcake,219673,eggs,4,eggs,48,161,4 eggs at room temperature,0.08333333333333333,3.3541666666666665
cupcake,219673,flour,3,cups,48,161,3 cups all-purpose flour,0.0625,3.3541666666666665
cupcake,219673,fruit juice,0.5,cups,48,161,"1/2 cup orange juice, or as needed",0.010416666666666666,3.3541666666666665
cupcake,219673,salt,0.005208325,cups,48,161,1/4 teaspoon salt,1.0850677083333333e-4,3.3541666666666665
cupcake,219673,spice,0.07291655,cups,48,161,2 teaspoons ground cinnamon;1 1/2 teaspoons ground ginger,0.0015190947916666666,3.3541666666666665
cupcake,219673,sugar,3.75,cups,48,161,"1 cup light brown sugar;1 cup white sugar;1 cup confectioners' sugar, sifted;3/4 cup packed dark brown sugar",0.078125,3.3541666666666665
cupcake,219673,unitless,2,NA,48,161,"2 pounds sweet potatoes, peeled and cubed;1 large orange, zested",0.041666666666666664,3.3541666666666665
cupcake,219673,vanilla,0.046874925,cups,48,161,2 teaspoons vanilla extract;1/4 teaspoon vanilla extract,9.765609375e-4,3.3541666666666665
cupcake,219676,baking powder,0.0416666,cups,24,250,2 teaspoons baking powder,0.0017361083333333333,10.416666666666666
cupcake,219676,baking soda,0.0208333,cups,24,250,1 teaspoon baking soda,8.680541666666666e-4,10.416666666666666
cupcake,219676,butter,0.5,cups,24,250,"1/2 cup butter, softened",0.020833333333333332,10.416666666666666
cupcake,219676,buttermilk,0.25,cups,24,250,1/4 cup dry buttermilk powder,0.010416666666666666,10.416666666666666
cupcake,219676,eggs,4,eggs,24,250,4 eggs,0.16666666666666666,10.416666666666666
cupcake,219676,flour,2,cups,24,250,2 cups cake flour,0.08333333333333333,10.416666666666666
cupcake,219676,milk,0.25,cups,24,250,1/4 cup whole milk,0.010416666666666666,10.416666666666666
cupcake,219676,oil,0.25,cups,24,250,1/4 cup vegetable oil,0.010416666666666666,10.416666666666666
cupcake,219676,salt,0.015624975,cups,24,250,3/4 teaspoon salt,6.51040625e-4,10.416666666666666
cupcake,219676,shortening,0.5,cups,24,250,1/2 cup butter-flavored shortening,0.020833333333333332,10.416666666666666
cupcake,219676,spice,0.0416666,cups,24,250,2 teaspoons pumpkin pie spice,0.0017361083333333333,10.416666666666666
cupcake,219676,starch,0.25,cups,24,250,1/4 cup cornstarch,0.010416666666666666,10.416666666666666
cupcake,219676,sugar,2.5,cups,24,250,1 1/2 cups white sugar;1 cup packed brown sugar,0.10416666666666667,10.416666666666666
cupcake,219676,vegetable,1.875,cups,24,250,1 (15 ounce) can pumpkin puree,0.078125,10.416666666666666
cupcake,219859,baking soda,0.005208325,cups,8,124,1/4 teaspoon baking soda,6.51040625e-4,15.5
cupcake,219859,butter,0.375,cups,8,124,"2 tablespoons melt® organic buttery spread, melted over low heat;2 ounces melt® organic buttery spread",0.046875,15.5
cupcake,219859,buttermilk,0.5,cups,8,124,1/2 cup low fat buttermilk*,0.0625,15.5
cupcake,219859,chocolate,0.125,cups,8,124,"2 tablespoons natural, unsweetened cocoa powder",0.015625,15.5
cupcake,219859,cream cheese,0.5,cups,8,124,"4 ounces reduced-fat cream cheese, room temperature",0.0625,15.5
cupcake,219859,eggs,4,eggs,8,124,2 eggs;2 egg whites,0.5,15.5
cupcake,219859,flour,0.5,cups,8,124,1/2 cup coconut flour,0.0625,15.5
cupcake,219859,low-cal sweetener,1.51041665,cups,8,124,"1/2 cup erythritol, such as now foods;1/2 teaspoon vanilla stevia extract;1 cup erythritol, powdered**",0.18880208125,15.5
cupcake,219859,salt,0.005208325,cups,8,124,1/4 teaspoon salt,6.51040625e-4,15.5
cupcake,219859,unitless,2,NA,8,124,"7 drops red gel food coloring;15 drops vanilla stevia, or to taste",0.25,15.5
cupcake,220444,baking powder,0.0208333,cups,12,234,1 teaspoon baking powder,0.0017361083333333333,19.5
cupcake,220444,butter,0.5,cups,12,234,"1/2 cup butter, softened",0.041666666666666664,19.5
cupcake,220444,cream,0.375,cups,12,234,6 tablespoons irish cream liqueur (such as baileys®),0.03125,19.5
cupcake,220444,eggs,4,eggs,12,234,4 egg yolks,0.3333333333333333,19.5
cupcake,220444,flour,1,cups,12,234,1 cup all-purpose flour,0.08333333333333333,19.5
cupcake,220444,nut,0.0208333,cups,12,234,1 teaspoon almond extract,0.0017361083333333333,19.5
cupcake,220444,salt,0.005208325,cups,12,234,1/4 teaspoon salt,4.340270833333333e-4,19.5
cupcake,220444,sour cream,0.75,cups,12,234,3/4 cup sour cream,0.0625,19.5
