type,recipe_id,ingredient,amount_sum,units_std,servings,value,amount_per
muffin,25224,baking soda,0.0208333,cups,12,1 teaspoon baking soda,0.0017361083333333333
muffin,25224,bran,1.5,cups,12,1 1/2 cups wheat bran,0.125
muffin,25224,buttermilk,1,cups,12,1 cup buttermilk,0.08333333333333333
muffin,25224,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,25224,flour,1,cups,12,1 cup all-purpose flour,0.08333333333333333
muffin,25224,fruit,0.5,cups,12,1/2 cup raisins,0.041666666666666664
muffin,25224,oil,0.3333333333333333,cups,12,1/3 cup vegetable oil,0.027777777777777776
muffin,25224,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,25224,sugar,0.6666666666666666,cups,12,2/3 cup brown sugar,0.05555555555555555
muffin,25224,vanilla,0.01041665,cups,12,1/2 teaspoon vanilla extract,8.680541666666666e-4
muffin,27326,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
muffin,27326,butter,0.125,cups,12,2 tablespoons softened butter,0.010416666666666666
muffin,27326,buttermilk,0.5,cups,12,1/2 cup buttermilk,0.041666666666666664
muffin,27326,eggs,2,eggs,12,2 eggs,0.16666666666666666
muffin,27326,flour,2.25,cups,12,2 cups all-purpose flour;1/4 cup all-purpose flour,0.1875
muffin,27326,fruit juice,0.5,cups,12,1/2 cup orange juice,0.041666666666666664
muffin,27326,oil,0.3333333333333333,cups,12,1/3 cup vegetable oil,0.027777777777777776
muffin,27326,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,27326,spice,0.0624999,cups,12,1 1/2 teaspoons ground cinnamon;1 1/2 teaspoons ground cinnamon,0.005208325
muffin,27326,sugar,1.1875,cups,12,3/4 cup white sugar;3 tablespoons brown sugar;1/4 cup white sugar,0.09895833333333333
muffin,27326,vanilla,0.0208333,cups,12,1 teaspoon vanilla extract,0.0017361083333333333
muffin,33093,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
muffin,33093,butter,0.0625,cups,12,"1 tablespoon butter, melted",0.005208333333333333
muffin,33093,eggs,1,eggs,12,"1 egg, beaten",0.08333333333333333
muffin,33093,flour,1.5,cups,12,1 1/2 cups all-purpose flour,0.125
muffin,33093,milk,0.75,cups,12,3/4 cup milk,0.0625
muffin,33093,salt,0.005208325,cups,12,1/4 teaspoon salt,4.340270833333333e-4
muffin,33093,spice,0.0416666,cups,12,2 teaspoons pumpkin pie spice,0.0034722166666666665
muffin,33093,sugar,0.5,cups,12,1/2 cup white sugar,0.041666666666666664
muffin,33093,unitless,1,NA,12,"1/2 pound peeled, seeded and cubed butternut squash",0.08333333333333333
muffin,33155,baking powder,0.026041625,cups,12,1 1/4 teaspoons baking powder,0.0021701354166666666
muffin,33155,baking soda,0.005208325,cups,12,1/4 teaspoon baking soda,4.340270833333333e-4
muffin,33155,eggs,1,eggs,12,"1 egg, beaten",0.08333333333333333
muffin,33155,flour,1.5,cups,12,1 1/2 cups all-purpose flour,0.125
muffin,33155,fruit,1,cups,12,1 cup fresh blueberries,0.08333333333333333
muffin,33155,fruit juice,0.5,cups,12,1/2 cup orange juice,0.041666666666666664
muffin,33155,oats,0.5,cups,12,1/2 cup quick cooking oats,0.041666666666666664
muffin,33155,oil,0.5,cups,12,1/2 cup vegetable oil,0.041666666666666664
muffin,33155,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,33155,spice,0.005208325,cups,12,1/4 teaspoon ground cinnamon,4.340270833333333e-4
