type,recipe_id,ingredient,amount_sum,units_std,servings,value,amount_per
muffin,6766,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,6766,flour,1,cups,12,1 cup all-purpose flour,0.08333333333333333
muffin,6766,fruit,1,cups,12,"1 cup blueberries, rinsed and drained",0.08333333333333333
muffin,6766,milk,1,cups,12,1 cup milk,0.08333333333333333
muffin,6766,oats,1.25,cups,12,1 1/4 cups quick cooking oats,0.10416666666666667
muffin,6766,oil,0.25,cups,12,1/4 cup vegetable oil,0.020833333333333332
muffin,6766,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,6766,sugar,0.3333333333333333,cups,12,1/3 cup white sugar,0.027777777777777776
muffin,6805,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
muffin,6805,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,6805,flour,2,cups,12,2 cups all-purpose flour,0.16666666666666666
muffin,6805,fruit,0.5,cups,12,1/2 cup fresh blueberries,0.041666666666666664
muffin,6805,milk,1,cups,12,1 cup milk,0.08333333333333333
muffin,6805,oil,0.3333333333333333,cups,12,1/3 cup vegetable oil,0.027777777777777776
muffin,6805,sugar,0.5,cups,12,1/2 cup white sugar,0.041666666666666664
muffin,6854,baking powder,0.0833332,cups,12,2 teaspoons baking powder;2 teaspoons baking powder,0.006944433333333333
muffin,6854,butter,1.25,cups,12,"1/2 cup butter;2 tablespoons butter, diced;1/2 cup butter;2 tablespoons butter, diced",0.10416666666666667
muffin,6854,eggs,4,eggs,12,2 eggs;2 eggs,0.3333333333333333
muffin,6854,flour,4.4375,cups,12,2 cups all-purpose flour;1 1/2 tablespoons all-purpose flour;2 tablespoons all-purpose flour;2 cups all-purpose flour;1 1/2 tablespoons all-purpose flour;2 tablespoons all-purpose flour,0.3697916666666667
muffin,6854,fruit,3.01041665,cups,12,1 1/2 cups fresh blueberries;1/4 teaspoon lemon zest;1 1/2 cups fresh blueberries;1/4 teaspoon lemon zest,0.25086805416666663
muffin,6854,milk,1,cups,12,1/2 cup milk;1/2 cup milk,0.08333333333333333
muffin,6854,salt,0.0208333,cups,12,1/2 teaspoon salt;1/2 teaspoon salt,0.0017361083333333333
muffin,6854,spice,0.0208333,cups,12,1/2 teaspoon ground cinnamon;1/2 teaspoon ground cinnamon,0.0017361083333333333
muffin,6854,sugar,2.125,cups,12,3/4 cup white sugar;5 tablespoons white sugar;3/4 cup white sugar;5 tablespoons white sugar,0.17708333333333334
muffin,6854,vanilla,0.0416666,cups,12,1 teaspoon vanilla extract;1 teaspoon vanilla extract,0.0034722166666666665
muffin,6865,baking powder,0.0416666,cups,8,2 teaspoons baking powder,0.005208325
muffin,6865,butter,0.25,cups,8,"1/4 cup butter, cubed",0.03125
muffin,6865,eggs,1,eggs,8,1 egg,0.125
muffin,6865,flour,1.8333333333333333,cups,8,1 1/2 cups all-purpose flour;1/3 cup all-purpose flour,0.22916666666666666
muffin,6865,fruit,1,cups,8,1 cup fresh blueberries,0.125
muffin,6865,milk,0.3333333333333333,cups,8,1/3 cup milk,0.041666666666666664
muffin,6865,oil,0.3333333333333333,cups,8,1/3 cup vegetable oil,0.041666666666666664
muffin,6865,salt,0.01041665,cups,8,1/2 teaspoon salt,0.00130208125
muffin,6865,spice,0.03124995,cups,8,1 1/2 teaspoons ground cinnamon,0.00390624375
muffin,6865,sugar,1.25,cups,8,3/4 cup white sugar;1/2 cup white sugar,0.15625
muffin,6869,baking powder,0.0624999,cups,12,1 1/2 teaspoons baking powder;1 1/2 teaspoons baking powder,0.005208325
muffin,6869,butter,0.0833332,cups,12,"2 teaspoons butter, melted;2 teaspoons butter, melted",0.006944433333333333
muffin,6869,eggs,6,eggs,12,3 eggs;3 eggs,0.5
muffin,6869,flour,6,cups,12,3 cups all-purpose flour;3 cups all-purpose flour,0.5
muffin,6869,fruit juice,0.5,cups,12,1/4 cup orange juice;1/4 cup orange juice,0.041666666666666664
muffin,6869,milk,3,cups,12,1 1/2 cups milk;1 1/2 cups milk,0.25
muffin,6869,nut,0.2708332,cups,12,1 1/2 tablespoons poppy seeds;1 1/2 teaspoons almond extract;1/2 teaspoon almond extract;1 1/2 tablespoons poppy seeds;1 1/2 teaspoons almond extract;1/2 teaspoon almond extract,0.022569433333333333
muffin,6869,oil,2.25,cups,12,1 1/8 cups vegetable oil;1 1/8 cups vegetable oil,0.1875
muffin,6869,salt,0.0624999,cups,12,1 1/2 teaspoons salt;1 1/2 teaspoons salt,0.005208325
muffin,6869,sugar,6.5,cups,12,2 1/2 cups white sugar;3/4 cup white sugar;2 1/2 cups white sugar;3/4 cup white sugar,0.5416666666666666
muffin,6869,vanilla,0.0833332,cups,12,1 1/2 teaspoons vanilla extract;1/2 teaspoon vanilla extract;1 1/2 teaspoons vanilla extract;1/2 teaspoon vanilla extract,0.006944433333333333
muffin,6874,baking powder,0.0624999,cups,12,3 teaspoons baking powder,0.005208325
muffin,6874,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,6874,flour,2,cups,12,2 cups all-purpose flour,0.16666666666666666
muffin,6874,milk,1,cups,12,1 cup milk,0.08333333333333333
muffin,6874,oil,0.25,cups,12,1/4 cup vegetable oil,0.020833333333333332
muffin,6874,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,6874,sugar,0.75,cups,12,3/4 cup white sugar,0.0625
muffin,6957,baking powder,0.0625,cups,12,1 tablespoon baking powder,0.005208333333333333
muffin,6957,chocolate,0.5,cups,12,1/2 cup semisweet chocolate chips,0.041666666666666664
muffin,6957,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,6957,flour,1.75,cups,12,1 3/4 cups all-purpose flour,0.14583333333333334
muffin,6957,fruit,1,cups,12,1 cup mashed bananas,0.08333333333333333
muffin,6957,milk,0.25,cups,12,1/4 cup milk,0.020833333333333332
muffin,6957,oil,0.25,cups,12,1/4 cup vegetable oil,0.020833333333333332
muffin,6957,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,6957,sugar,0.5,cups,12,1/2 cup white sugar,0.041666666666666664
muffin,69664,baking powder,0.0625,cups,16,1 tablespoon baking powder,0.00390625
muffin,69664,butter,0.5,cups,16,"1/4 cup butter, melted;1/4 cup butter, melted",0.03125
muffin,69664,eggs,1,eggs,16,"1 egg, beaten",0.0625
muffin,69664,flour,2.5,cups,16,2 cups all-purpose flour;1/2 cup all-purpose flour,0.15625
muffin,69664,fruit,1,cups,16,1 (8 ounce) can crushed pineapple,0.0625
muffin,69664,milk,0.75,cups,16,3/4 cup milk,0.046875
muffin,69664,salt,0.01041665,cups,16,1/2 teaspoon salt,6.51040625e-4
muffin,69664,spice,0.005208325,cups,16,1/4 teaspoon ground cinnamon,3.255203125e-4
muffin,69664,sugar,0.8333333333333333,cups,16,1/2 cup white sugar;1/3 cup packed brown sugar,0.05208333333333333
muffin,6989,baking powder,0.03124995,cups,12,1 1/2 teaspoons baking powder,0.0026041625
muffin,6989,baking soda,0.005208325,cups,12,1/4 teaspoon baking soda,4.340270833333333e-4
muffin,6989,eggs,2,eggs,12,2 egg whites,0.16666666666666666
muffin,6989,flour,1.5,cups,12,1 1/2 cups all-purpose flour,0.125
muffin,6989,fruit,1.0208333,cups,12,1 cup mashed bananas;1 teaspoon lemon zest,0.08506944166666668
muffin,6989,nut,0.25,cups,12,1/4 cup chopped walnuts,0.020833333333333332
muffin,6989,oil,0.1875,cups,12,3 tablespoons vegetable oil,0.015625
muffin,6989,salt,0.0026041625,cups,12,1/8 teaspoon salt,2.1701354166666666e-4
muffin,6989,sugar,0.75,cups,12,3/4 cup white sugar,0.0625
muffin,69893,baking soda,0.0208333,cups,12,1 teaspoon baking soda,0.0017361083333333333
muffin,69893,eggs,2,eggs,12,2 eggs,0.16666666666666666
muffin,69893,flour,2,cups,12,2 cups whole wheat flour,0.16666666666666666
muffin,69893,fruit,1.5,cups,12,1/2 cup unsweetened applesauce;1 cup frozen sliced strawberries,0.125
muffin,69893,oil,0.25,cups,12,1/4 cup vegetable oil,0.020833333333333332
muffin,69893,spice,0.0625,cups,12,1 tablespoon ground cinnamon,0.005208333333333333
muffin,69893,sugar,0.75,cups,12,3/4 cup packed brown sugar,0.0625
muffin,69893,unitless,1,NA,12,"3 bananas, mashed",0.08333333333333333
muffin,69893,vanilla,0.0208333,cups,12,1 teaspoon vanilla extract,0.0017361083333333333
muffin,6990,baking soda,0.0208333,cups,12,1 teaspoon baking soda,0.0017361083333333333
muffin,6990,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,6990,flour,2,cups,12,2 cups all-purpose flour,0.16666666666666666
muffin,6990,nut,0.25,cups,12,1/4 cup chopped walnuts,0.020833333333333332
muffin,6990,oil,0.5,cups,12,1/2 cup vegetable oil,0.041666666666666664
muffin,6990,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,6990,sugar,1,cups,12,1 cup white sugar,0.08333333333333333
muffin,6990,unitless,1,NA,12,"3 ripe bananas, mashed",0.08333333333333333
muffin,7013,baking powder,0.0208333,cups,18,1 teaspoon baking powder,0.0011574055555555556
muffin,7013,baking soda,0.0208333,cups,18,1 teaspoon baking soda,0.0011574055555555556
muffin,7013,chocolate,1,cups,18,1 cup semisweet chocolate chips,0.05555555555555555
muffin,7013,eggs,1,eggs,18,1 egg,0.05555555555555555
muffin,7013,flour,2.25,cups,18,2 1/4 cups all-purpose flour,0.125
muffin,7013,margarine,1,cups,18,1 cup margarine,0.05555555555555555
muffin,7013,other,0.0625,cups,18,"1 tablespoon instant coffee granules, dissolved in",0.003472222222222222
muffin,7013,salt,0.005208325,cups,18,1/4 teaspoon salt,2.893513888888889e-4
muffin,7013,sugar,1.25,cups,18,1 1/4 cups white sugar,0.06944444444444445
muffin,7013,unitless,1,NA,18,3 ripe bananas,0.05555555555555555
muffin,7013,vanilla,0.0208333,cups,18,1 teaspoon vanilla extract,0.0011574055555555556
muffin,7013,water,0.0625,cups,18,1 tablespoon water,0.003472222222222222
muffin,7019,baking soda,0.01041665,cups,12,1/2 teaspoon baking soda,8.680541666666666e-4
muffin,7019,chocolate,1.25,cups,12,1/4 cup unsweetened cocoa powder;1 cup semi-sweet chocolate chips,0.10416666666666667
muffin,7019,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,7019,flour,1,cups,12,1 cup all-purpose flour,0.08333333333333333
muffin,7019,fruit,0.5,cups,12,1/2 cup applesauce,0.041666666666666664
muffin,7019,margarine,0.25,cups,12,"1/4 cup margarine, softened",0.020833333333333332
muffin,7019,spice,0.005208325,cups,12,1/4 teaspoon ground cinnamon (optional),4.340270833333333e-4
muffin,7019,sugar,1.125,cups,12,1/2 cup white sugar;1/2 cup light brown sugar;2 tablespoons confectioners' sugar (optional),0.09375
muffin,7019,vanilla,0.01041665,cups,12,1/2 teaspoon vanilla extract,8.680541666666666e-4
muffin,7067,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
muffin,7067,baking soda,0.0208333,cups,12,1 teaspoon baking soda,0.0017361083333333333
muffin,7067,eggs,2,eggs,12,2 eggs,0.16666666666666666
muffin,7067,flour,2,cups,12,2 cups all-purpose flour,0.16666666666666666
muffin,7067,fruit,0.0625,cups,12,1 tablespoon grated lemon zest,0.005208333333333333
muffin,7067,fruit juice,0.3333333333333333,cups,12,1/3 cup lemon juice,0.027777777777777776
muffin,7067,nut,0.25,cups,12,1/4 cup poppy seeds,0.020833333333333332
muffin,7067,oil,0.25,cups,12,1/4 cup vegetable oil,0.020833333333333332
muffin,7067,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,7067,sugar,0.9375,cups,12,3/4 cup white sugar;3 tablespoons white sugar,0.078125
muffin,7067,yogurt,1,cups,12,1 cup lemon flavored yogurt,0.08333333333333333
muffin,7113,baking powder,0.026041625,cups,12,1 1/4 teaspoons baking powder,0.0021701354166666666
muffin,7113,baking soda,0.01041665,cups,12,1/2 teaspoon baking soda,8.680541666666666e-4
muffin,7113,chocolate,0.5,cups,12,1/2 cup semisweet chocolate chips,0.041666666666666664
muffin,7113,eggs,2,eggs,12,2 egg whites,0.16666666666666666
muffin,7113,flour,1.5,cups,12,1 1/2 cups all-purpose flour,0.125
muffin,7113,fruit,1.25,cups,12,1 cup mashed bananas;1/4 cup applesauce,0.10416666666666667
muffin,7113,salt,0.0026041625,cups,12,1/8 teaspoon salt,2.1701354166666666e-4
muffin,7113,spice,0.01041665,cups,12,1/2 teaspoon ground cinnamon,8.680541666666666e-4
muffin,7113,sugar,0.75,cups,12,3/4 cup white sugar,0.0625
muffin,7159,baking powder,0.0416666,cups,18,2 teaspoons baking powder,0.002314811111111111
muffin,7159,baking soda,0.01041665,cups,18,1/2 teaspoon baking soda,5.787027777777778e-4
muffin,7159,eggs,3,eggs,18,1 egg;2 egg whites,0.16666666666666666
muffin,7159,flour,2,cups,18,1 1/2 cups all-purpose flour;1/2 cup whole wheat flour,0.1111111111111111
muffin,7159,fruit,1.5,cups,18,1 cup raisins;1/2 cup apple butter,0.08333333333333333
muffin,7159,nut,0.125,cups,18,2 tablespoons chopped walnuts,0.006944444444444444
muffin,7159,oil,0.25,cups,18,1/4 cup vegetable oil,0.013888888888888888
muffin,7159,salt,0.01041665,cups,18,1/2 teaspoon salt,5.787027777777778e-4
muffin,7159,spice,0.0625,cups,18,1 tablespoon ground cinnamon,0.003472222222222222
muffin,7159,sugar,1.25,cups,18,1 1/4 cups white sugar,0.06944444444444445
muffin,7159,unitless,1,NA,18,"1 apple - peeled, cored, and chopped",0.05555555555555555
muffin,7159,vanilla,0.0625,cups,18,1 tablespoon vanilla extract,0.003472222222222222
muffin,7159,vegetable,2,cups,18,2 cups grated carrots,0.1111111111111111
muffin,7159,wheat germ,0.125,cups,18,2 tablespoons toasted wheat germ,0.006944444444444444
muffin,7164,baking soda,0.0416666,cups,20,2 teaspoons baking soda,0.00208333
muffin,7164,bran,4,cups,20,4 cups whole bran cereal,0.2
muffin,7164,eggs,5,eggs,20,"5 eggs, beaten",0.25
muffin,7164,flour,2,cups,20,2 cups all-purpose flour,0.1
muffin,7164,fruit,2,cups,20,2 cups golden raisins,0.1
muffin,7164,fruit juice,2,cups,20,2 cups pineapple juice,0.1
muffin,7164,honey,0.5,cups,20,1/2 cup honey,0.025
muffin,7164,oil,0.5,cups,20,1/2 cup vegetable oil,0.025
muffin,7164,salt,0.0208333,cups,20,1 teaspoon salt,0.001041665
muffin,7164,sugar,1,cups,20,1 cup packed brown sugar,0.05
muffin,7167,baking powder,0.01041665,cups,24,1/2 teaspoon baking powder,4.340270833333333e-4
muffin,7167,baking soda,0.0208333,cups,24,1 teaspoon baking soda,8.680541666666666e-4
muffin,7167,chocolate,0.3333333333333333,cups,24,1/3 cup unsweetened cocoa powder,0.013888888888888888
muffin,7167,eggs,3,eggs,24,3 eggs,0.125
muffin,7167,flour,3,cups,24,3 cups all-purpose flour,0.125
muffin,7167,oil,1,cups,24,1 cup vegetable oil,0.041666666666666664
muffin,7167,salt,0.0208333,cups,24,1 teaspoon salt,8.680541666666666e-4
muffin,7167,spice,0.0208333,cups,24,1/4 teaspoon ground cinnamon;1/4 teaspoon ground nutmeg;1/4 teaspoon ground cloves;1/4 teaspoon ground cardamom,8.680541666666666e-4
muffin,7167,sugar,2,cups,24,2 cups white sugar,0.08333333333333333
muffin,7167,vanilla,0.03124995,cups,24,1 1/2 teaspoons vanilla extract,0.00130208125
muffin,7167,vegetable,2,cups,24,2 cups grated zucchini,0.08333333333333333
muffin,7191,baking powder,0.05208325,cups,18,2 1/2 teaspoons baking powder,0.0028935138888888886
muffin,7191,baking soda,0.01041665,cups,18,1/2 teaspoon baking soda,5.787027777777778e-4
muffin,7191,eggs,2,eggs,18,2 eggs,0.1111111111111111
muffin,7191,flour,2,cups,18,2 cups all-purpose flour,0.1111111111111111
muffin,7191,fruit,1,cups,18,1 cup mashed ripe banana,0.05555555555555555
muffin,7191,margarine,0.5,cups,18,1/2 cup margarine,0.027777777777777776
muffin,7191,milk,0.375,cups,18,6 tablespoons milk,0.020833333333333332
muffin,7191,salt,0.01041665,cups,18,1/2 teaspoon salt,5.787027777777778e-4
muffin,7191,spice,0.0208333,cups,18,1 teaspoon ground cinnamon,0.0011574055555555556
muffin,7191,sugar,1,cups,18,1 cup white sugar,0.05555555555555555
muffin,7228,baking powder,0.0416666,cups,16,2 teaspoons baking powder,0.0026041625
muffin,7228,baking soda,0.01041665,cups,16,1/2 teaspoon baking soda,6.51040625e-4
muffin,7228,eggs,2,eggs,16,2 eggs,0.125
muffin,7228,flour,1.5,cups,16,1 1/2 cups all-purpose flour,0.09375
muffin,7228,fruit,1,cups,16,1 cup applesauce,0.0625
muffin,7228,margarine,0.5,cups,16,1/2 cup margarine,0.03125
muffin,7228,spice,0.0416666,cups,16,1 teaspoon ground cinnamon;1 teaspoon ground allspice,0.0026041625
muffin,7228,sugar,0.6666666666666666,cups,16,2/3 cup white sugar,0.041666666666666664
muffin,72816,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
muffin,72816,baking soda,0.0208333,cups,12,1 teaspoon baking soda,0.0017361083333333333
muffin,72816,eggs,4,eggs,12,4 egg whites,0.3333333333333333
muffin,72816,flour,2,cups,12,2 cups whole wheat flour,0.16666666666666666
muffin,72816,fruit,2.5,cups,12,1 1/2 cups mashed bananas;1 cup fresh blueberries,0.20833333333333334
muffin,72816,spice,0.01041665,cups,12,1/2 teaspoon ground cinnamon,8.680541666666666e-4
muffin,72816,sugar,0.3333333333333333,cups,12,1/3 cup brown sugar,0.027777777777777776
muffin,72816,vanilla,0.0208333,cups,12,1 teaspoon vanilla extract,0.0017361083333333333
muffin,74658,baking soda,0.0208333,cups,16,1 teaspoon baking soda,0.00130208125
muffin,74658,eggs,3,eggs,16,"3 eggs, lightly beaten",0.1875
muffin,74658,flour,3,cups,16,3 cups all-purpose flour,0.1875
muffin,74658,fruit,2,cups,16,"2 cups peeled, pitted, and chopped peaches",0.125
muffin,74658,oil,1.25,cups,16,1 1/4 cups vegetable oil,0.078125
muffin,74658,salt,0.0208333,cups,16,1 teaspoon salt,0.00130208125
muffin,74658,spice,0.0625,cups,16,1 tablespoon ground cinnamon,0.00390625
muffin,74658,sugar,2,cups,16,2 cups white sugar,0.125
muffin,74935,baking powder,0.0208333,cups,24,1 teaspoon baking powder,8.680541666666666e-4
muffin,74935,baking soda,0.0208333,cups,24,1 teaspoon baking soda,8.680541666666666e-4
muffin,74935,eggs,3,eggs,24,3 eggs,0.125
muffin,74935,flour,3,cups,24,1 1/2 cups all-purpose flour;3/4 cup whole wheat flour;3/4 cup oat flour,0.125
muffin,74935,fruit,1,cups,24,1/2 cup unsweetened applesauce;1/2 cup raisins (optional),0.041666666666666664
muffin,74935,honey,0.75,cups,24,3/4 cup honey,0.03125
muffin,74935,nut,0.5,cups,24,1/2 cup chopped pecans (optional),0.020833333333333332
muffin,74935,oil,0.5,cups,24,1/2 cup vegetable oil,0.020833333333333332
muffin,74935,salt,0.0208333,cups,24,1 teaspoon salt,8.680541666666666e-4
muffin,74935,spice,0.057291575,cups,24,2 1/2 teaspoons ground cinnamon;1/4 teaspoon ground nutmeg,0.0023871489583333332
muffin,74935,sugar,1,cups,24,1 cup white sugar,0.041666666666666664
muffin,74935,vanilla,0.0416666,cups,24,2 teaspoons vanilla extract,0.0017361083333333333
muffin,74935,vegetable,2,cups,24,1 cup shredded zucchini;1 cup shredded carrots,0.08333333333333333
muffin,74935,yogurt,1,cups,24,1 cup plain yogurt,0.041666666666666664
muffin,75353,baking powder,0.0625,cups,12,1 tablespoon baking powder,0.005208333333333333
muffin,75353,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,75353,flour,1.5,cups,12,1 1/2 cups all-purpose flour,0.125
muffin,75353,fruit,1,cups,12,1 cup blueberries,0.08333333333333333
muffin,75353,milk,0.75,cups,12,3/4 cup milk,0.0625
muffin,75353,nut,0.5,cups,12,1/2 cup chopped walnuts,0.041666666666666664
muffin,75353,oats,1.0833333333333333,cups,12,3/4 cup quick cooking oats;1/3 cup quick cooking oats,0.09027777777777778
muffin,75353,oil,0.5,cups,12,1/2 cup vegetable oil,0.041666666666666664
muffin,75353,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,75353,spice,0.0208333,cups,12,1 teaspoon ground cinnamon,0.0017361083333333333
muffin,75353,sugar,0.75,cups,12,1/2 cup sugar;1/4 cup brown sugar,0.0625
muffin,75353,wheat germ,0.25,cups,12,1/4 cup wheat germ,0.020833333333333332
muffin,76907,baking powder,0.0208333,cups,18,1 teaspoon baking powder,0.0011574055555555556
muffin,76907,baking soda,0.0416666,cups,18,2 teaspoons baking soda,0.002314811111111111
muffin,76907,cream cheese,0.25,cups,18,1/4 cup softened cream cheese,0.013888888888888888
muffin,76907,eggs,3,eggs,18,"3 eggs, beaten",0.16666666666666666
muffin,76907,flour,2,cups,18,1 cup all-purpose flour;1 cup whole wheat flour,0.1111111111111111
muffin,76907,fruit,0.5,cups,18,1/2 cup raisins,0.027777777777777776
muffin,76907,fruit juice,1,cups,18,"1 (8 ounce) can crushed pineapple, drained with juice reserved",0.05555555555555555
muffin,76907,nut,0.5,cups,18,1/2 cup flaked coconut,0.027777777777777776
muffin,76907,oats,0.5,cups,18,1/2 cup uncooked rolled oats,0.027777777777777776
muffin,76907,oil,1,cups,18,1 cup canola oil,0.05555555555555555
muffin,76907,salt,0.005208325,cups,18,1/4 teaspoon salt,2.893513888888889e-4
muffin,76907,spice,0.0208333,cups,18,1 teaspoon cinnamon,0.0011574055555555556
muffin,76907,sugar,1.5,cups,18,3/4 cup white sugar;3/4 cup brown sugar,0.08333333333333333
muffin,76907,vanilla,0.0208333,cups,18,1 teaspoon vanilla extract,0.0011574055555555556
muffin,76907,vegetable,2,cups,18,2 cups shredded carrots,0.1111111111111111
muffin,7904,baking powder,0.0624999,cups,12,3 teaspoons baking powder,0.005208325
muffin,7904,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,7904,flour,2,cups,12,2 cups all-purpose flour,0.16666666666666666
muffin,7904,fruit,1,cups,12,"1 cup apples - peeled, cored and finely diced",0.08333333333333333
muffin,7904,fruit juice,0.75,cups,12,3/4 cup apple juice,0.0625
muffin,7904,oil,0.3333333333333333,cups,12,1/3 cup vegetable oil,0.027777777777777776
muffin,7904,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,7904,spice,0.0208333,cups,12,1 teaspoon ground cinnamon,0.0017361083333333333
muffin,7904,sugar,0.5,cups,12,1/2 cup white sugar,0.041666666666666664
muffin,7906,baking powder,0.0624999,cups,12,3 teaspoons baking powder,0.005208325
muffin,7906,chocolate,0.75,cups,12,3/4 cup mini semi-sweet chocolate chips,0.0625
muffin,7906,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,7906,flour,2,cups,12,2 cups all-purpose flour,0.16666666666666666
muffin,7906,milk,0.75,cups,12,3/4 cup milk,0.0625
muffin,7906,oil,0.3333333333333333,cups,12,1/3 cup vegetable oil,0.027777777777777776
muffin,7906,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,7906,sugar,0.8125,cups,12,1/2 cup white sugar;3 tablespoons white sugar;2 tablespoons brown sugar,0.06770833333333333
muffin,7908,baking powder,0.0624999,cups,12,3 teaspoons baking powder,0.005208325
muffin,7908,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,7908,flour,2,cups,12,2 cups all-purpose flour,0.16666666666666666
muffin,7908,fruit,0.0625,cups,12,1 tablespoon grated lemon zest,0.005208333333333333
muffin,7908,milk,0.75,cups,12,3/4 cup milk,0.0625
muffin,7908,oil,0.3333333333333333,cups,12,1/3 cup vegetable oil,0.027777777777777776
muffin,7908,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,7908,sugar,0.5,cups,12,1/2 cup white sugar,0.041666666666666664
muffin,7958,baking powder,0.015624975,cups,12,3/4 teaspoon baking powder,0.00130208125
muffin,7958,baking soda,0.01041665,cups,12,1/2 teaspoon baking soda,8.680541666666666e-4
muffin,7958,chocolate,0.5,cups,12,1/2 cup semisweet chocolate chips,0.041666666666666664
muffin,7958,eggs,2,eggs,12,2 eggs,0.16666666666666666
muffin,7958,flour,1.5,cups,12,1 1/2 cups all-purpose flour,0.125
muffin,7958,oil,0.25,cups,12,1/4 cup vegetable oil,0.020833333333333332
muffin,7958,salt,0.005208325,cups,12,1/4 teaspoon salt,4.340270833333333e-4
muffin,7958,spice,0.0208333,cups,12,1/4 teaspoon ground cloves;1/2 teaspoon ground cinnamon;1/4 teaspoon ground nutmeg,0.0017361083333333333
muffin,7958,sugar,0.75,cups,12,3/4 cup white sugar,0.0625
muffin,7958,vegetable,0.75,cups,12,3/4 cup canned pumpkin,0.0625
muffin,7958,water,0.25,cups,12,1/4 cup water,0.020833333333333332
muffin,8116,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
muffin,8116,baking soda,0.0416666,cups,12,2 teaspoons baking soda,0.0034722166666666665
muffin,8116,bran,1.5,cups,12,1 1/2 cups oat bran,0.125
muffin,8116,eggs,2,eggs,12,2 eggs,0.16666666666666666
muffin,8116,flour,1.5,cups,12,1 1/2 cups all-purpose flour,0.125
muffin,8116,fruit,1,cups,12,1 cup chilled applesauce,0.08333333333333333
muffin,8116,oil,0.25,cups,12,4 tablespoons vegetable oil,0.020833333333333332
muffin,8116,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,8116,sugar,0.5,cups,12,1/2 cup dark brown sugar,0.041666666666666664
muffin,8427,baking powder,0.0416666,cups,18,2 teaspoons baking powder,0.002314811111111111
muffin,8427,butter,0.5,cups,18,1/2 cup butter,0.027777777777777776
muffin,8427,eggs,2,eggs,18,2 eggs,0.1111111111111111
muffin,8427,flour,2,cups,18,2 cups all-purpose flour,0.1111111111111111
muffin,8427,fruit,2.5,cups,18,2 1/2 cups fresh blueberries,0.1388888888888889
muffin,8427,milk,0.25,cups,18,1/4 cup milk,0.013888888888888888
muffin,8427,salt,0.01041665,cups,18,1/2 teaspoon salt,5.787027777777778e-4
muffin,8427,sugar,1.5,cups,18,1 1/4 cups white sugar;1/4 cup white sugar,0.08333333333333333
muffin,8443,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
muffin,8443,butter,0.5,cups,12,1/2 cup butter,0.041666666666666664
muffin,8443,eggs,2,eggs,12,2 eggs,0.16666666666666666
muffin,8443,flour,2,cups,12,2 cups all-purpose flour,0.16666666666666666
muffin,8443,fruit,1.5,cups,12,1 1/2 cups fresh blueberries,0.125
muffin,8443,milk,0.5,cups,12,1/2 cup milk,0.041666666666666664
muffin,8443,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,8443,sugar,1.25,cups,12,1 1/4 cups white sugar,0.10416666666666667
muffin,8449,baking powder,0.0416666,cups,8,2 teaspoons baking powder,0.005208325
muffin,8449,eggs,1,eggs,8,1 egg,0.125
muffin,8449,flour,1.75,cups,8,1 3/4 cups all-purpose flour,0.21875
muffin,8449,fruit,1,cups,8,1 cup chopped strawberries,0.125
muffin,8449,milk,0.5,cups,8,1/2 cup milk,0.0625
muffin,8449,oil,0.25,cups,8,1/4 cup canola oil,0.03125
muffin,8449,salt,0.01041665,cups,8,1/2 teaspoon salt,0.00130208125
muffin,8449,sugar,0.5,cups,8,1/2 cup white sugar,0.0625
muffin,8458,baking powder,0.0416666,cups,18,2 teaspoons baking powder,0.002314811111111111
muffin,8458,butter,0.1875,cups,18,3 tablespoons butter,0.010416666666666666
